error_mean error_std nr_incoherent_ffl nr_neg_feed
1.480000000000000071e+01 1.536229149573721697e+00 1.470000000000000000e+02 7.100000000000000000e+01
1.490000000000000036e+01 1.445683229480096088e+00 1.300000000000000000e+02 8.800000000000000000e+01
1.433999999999999986e+01 1.193482299826855275e+00 1.010000000000000000e+02 7.900000000000000000e+01
1.435999999999999943e+01 1.034601372510205008e+00 1.370000000000000000e+02 5.100000000000000000e+01
1.506000000000000050e+01 1.434015341619468087e+00 1.330000000000000000e+02 7.700000000000000000e+01
1.472000000000000064e+01 1.217209924376235319e+00 1.350000000000000000e+02 8.600000000000000000e+01
1.417999999999999972e+01 1.337011593068661242e+00 1.070000000000000000e+02 7.200000000000000000e+01
1.496000000000000085e+01 1.295530779256131693e+00 1.310000000000000000e+02 7.300000000000000000e+01
1.469999999999999929e+01 1.330413469565006945e+00 1.390000000000000000e+02 5.400000000000000000e+01
1.422000000000000064e+01 1.315902731967678596e+00 1.130000000000000000e+02 6.600000000000000000e+01
1.493999999999999950e+01 1.271377206025025464e+00 1.400000000000000000e+02 8.200000000000000000e+01
1.411999999999999922e+01 1.088852607105295967e+00 1.270000000000000000e+02 5.700000000000000000e+01
1.411999999999999922e+01 1.070327052820772229e+00 1.000000000000000000e+02 5.300000000000000000e+01
1.448000000000000043e+01 1.170299107066223643e+00 1.280000000000000000e+02 8.200000000000000000e+01
1.443999999999999950e+01 1.202663710269832764e+00 1.350000000000000000e+02 8.400000000000000000e+01
1.411999999999999922e+01 9.927738916792685497e-01 1.220000000000000000e+02 6.900000000000000000e+01
1.422000000000000064e+01 1.315902731967678596e+00 1.340000000000000000e+02 8.600000000000000000e+01
1.406000000000000050e+01 1.405844941663197956e+00 1.350000000000000000e+02 8.700000000000000000e+01
1.348000000000000043e+01 1.135605565326271327e+00 1.110000000000000000e+02 5.200000000000000000e+01
1.501999999999999957e+01 1.224581561187330525e+00 1.170000000000000000e+02 7.000000000000000000e+01
1.390000000000000036e+01 1.187434208703791683e+00 1.090000000000000000e+02 6.900000000000000000e+01
1.382000000000000028e+01 1.107971118757163254e+00 1.370000000000000000e+02 5.200000000000000000e+01
1.459999999999999964e+01 1.148912529307605457e+00 1.450000000000000000e+02 8.400000000000000000e+01
1.482000000000000028e+01 1.259999999999999787e+00 1.230000000000000000e+02 7.300000000000000000e+01
1.408000000000000007e+01 9.967948635501689969e-01 1.310000000000000000e+02 8.500000000000000000e+01
1.411999999999999922e+01 1.210619676033724446e+00 1.370000000000000000e+02 7.400000000000000000e+01
1.441999999999999993e+01 1.415485782337639664e+00 1.220000000000000000e+02 7.100000000000000000e+01
1.406000000000000050e+01 1.102905254316979056e+00 9.800000000000000000e+01 7.300000000000000000e+01
1.456000000000000050e+01 1.387948125831797830e+00 1.240000000000000000e+02 7.100000000000000000e+01
