error_mean error_std
3.703143007894053040e-01 2.508107805218447867e-02
3.597892199128226443e-01 2.307269242188962621e-02
3.585212918390385806e-01 3.550923630848318302e-02
3.493656057520725944e-01 2.508759751474336566e-02
3.618971418547174412e-01 2.404477282192296617e-02
3.511329768515344951e-01 2.555537800746444238e-02
3.671221192125851962e-01 2.756419573390992903e-02
3.450584754197278392e-01 2.044946663412366972e-02
3.496999316755444731e-01 1.886412460415887518e-02
3.583015746796712753e-01 3.991178662512535197e-02
3.554996874628563730e-01 3.278280308840779422e-02
3.679494015568424703e-01 2.948957917555898242e-02
3.583384768081335769e-01 2.691840156507429443e-02
3.716338747303678525e-01 3.019126870442158037e-02
3.520889787178371755e-01 1.636125659546386682e-02
3.506475476313333228e-01 2.227405599826686941e-02
3.513180638677270706e-01 2.132069422384057222e-02
3.646410282108696888e-01 2.429970584926082269e-02
3.548402406656573915e-01 1.847156047172651347e-02
3.468353538003454140e-01 2.396697087438283413e-02
3.673786781818859648e-01 2.680490148078596910e-02
3.794699075054597803e-01 4.381525483545370414e-02
3.622699315549401944e-01 2.680076455423639759e-02
3.563857518978978955e-01 1.661761133911791519e-02
3.735070543525785269e-01 3.659033384740342093e-02
3.730616653222128543e-01 2.670942559713958622e-02
3.600395547226440951e-01 1.916429824786678587e-02
3.567032297852575917e-01 2.171689425147980274e-02
3.593931674716263625e-01 3.402672513313073632e-02
3.575416092005320179e-01 2.569744525019738296e-02
3.586135026611844134e-01 2.231508694994718128e-02
3.600364501624335190e-01 2.669332528830301032e-02
3.678925942814437189e-01 3.155773059194138391e-02
3.453670689366414859e-01 2.239783854442309319e-02
3.592537079003272349e-01 2.681061343685303341e-02
3.642091935391120194e-01 2.260305214246750155e-02
3.564756663149606375e-01 2.116499920723110759e-02
3.478476305742783659e-01 2.229697018324686489e-02
3.539324156437203550e-01 2.972128236976822116e-02
3.452538820395884556e-01 1.869532239151334638e-02
3.612723935192152513e-01 3.452398570233469050e-02
3.668044466142553195e-01 2.462325525138204033e-02
3.676276915249070409e-01 2.696709074827147168e-02
3.620730321814847330e-01 3.448959110620596763e-02
3.688144919191312932e-01 3.441407566571363236e-02
3.529598260325644277e-01 2.676846033139330949e-02
3.593425577925491998e-01 2.606148478150370137e-02
3.671317334936310961e-01 3.465812611967346302e-02
3.585518560322204507e-01 1.871617174354389332e-02
3.687088890521629803e-01 3.869372128440999592e-02
3.575607578701660572e-01 2.655797185257919441e-02
3.571675342458145996e-01 2.854887623733074961e-02
3.720643578804604390e-01 3.618467581264220301e-02
3.661015539541239705e-01 2.528513790152104104e-02
3.532009841104146175e-01 1.957865233041448938e-02
3.554358203154460716e-01 2.566384739025695180e-02
3.676643012393266408e-01 2.985067681256727001e-02
3.701997325236580094e-01 2.507545442699338559e-02
3.559224169594322751e-01 2.330460985597693560e-02
3.679626590236232397e-01 2.626430193570860466e-02
3.575490392420622721e-01 2.933310273015864514e-02
3.618366861339704088e-01 2.775413159814918429e-02
3.647468101558478670e-01 2.002715083337601107e-02
3.675211609595436246e-01 2.376569571350278451e-02
3.738944170430227310e-01 3.912479451386710605e-02
3.532301193891211888e-01 2.615556653316033695e-02
3.674375927193092584e-01 3.222619102965765259e-02
3.646969680537852643e-01 3.257637577695938341e-02
3.539869594355354310e-01 2.256888405116207891e-02
3.540479684951708950e-01 2.593448667821985146e-02
3.674044056507997924e-01 1.984479297303950660e-02
3.586904968315418607e-01 1.944939561767922154e-02
3.655301657371533008e-01 3.758473606192054561e-02
3.679188357625104988e-01 3.099608253970052157e-02
3.522617052632038281e-01 1.866908209686103659e-02
3.734020679441226731e-01 3.289359551337563831e-02
3.539758348624599815e-01 3.193623518081690343e-02
3.803044933857597232e-01 7.034733897249355328e-02
3.674831668284974096e-01 4.272098899996237126e-02
3.624415851956673262e-01 2.707174737528247194e-02
3.686702735916633777e-01 3.116272114434994953e-02
3.634500832145381999e-01 2.234768735039824664e-02
3.723432750007989456e-01 4.664458636884698944e-02
3.624837106222223992e-01 2.261195977602096716e-02
3.619468887932395518e-01 1.430430573790436068e-02
3.617834071062430712e-01 4.472765220954585952e-02
3.725549860774686750e-01 3.158574714123637411e-02
3.685999859813124391e-01 3.353366282221988820e-02
3.677065756075907910e-01 7.150600797755246596e-02
3.845999005309642116e-01 2.825874678840610207e-02
3.577730670872665275e-01 1.813973705075188486e-02
